"taxa","median_depth","SampleType","include","raw_read_num"
"KEN-2007-002",49,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2007-005",62,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2007-006",63,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2007-008",53,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2007-009",3,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2008-001",50,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2008-002",58,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2008-005",60,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2008-006",48,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2008-007",49,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2009-001",27,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-006",2,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2009-007",58,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-013",46,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-015",59,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-017",35,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-035",63,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2009-043",43,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-046",41,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-048",17,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2009-053",3,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2009-055",58,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-061",42,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-065",4,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2009-073",49,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-077",50,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-078",50,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-084",49,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-085",37,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-087",48,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-089",0,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2009-092",59,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-095",34,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-096",2,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2009-097",58,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-098",59,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-100",49,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-101",51,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-103",49,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-106",3,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2009-110",59,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-125",59,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-128",29,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-134",49,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-135",60,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-136",57,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-142",59,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-143",48,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2009-147",50,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2010-002",49,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2010-006",48,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2010-013",48,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2010-014",57,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2010-016",50,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2010-017",45,"Boil extracted isolate",TRUE,"> 1000000"
"KEN-2010-018",1,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2010-024",54,"Boil extracted isolate",FALSE,"> 1000000"
"KEN-2010-025",60,"Qiagen isolate extract",TRUE,"> 1000000"
"KEN-2010-030",4,"Boil extracted isolate",FALSE,"≤ 1000000"
"KEN-2010-034",58,"Boil extracted isolate",TRUE,"> 1000000"
